Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-01-02,47372.85546875,48059.418591485504,47201.214688066124,47630.31663977581,12993228
2020-01-03,47630.3125,48574.336711711716,47115.3902027027,48059.414414414416,15422255
2020-01-06,47630.3125,47716.132882882885,46857.92905405405,47115.3902027027,10278951
2020-01-07,47887.7734375,48402.69573252688,47716.13267249104,47801.953054995516,10009778
2020-01-08,48745.96484375,49260.88700759243,47973.581597986355,48231.042679907565,23501171
2020-01-09,50290.75390625,50290.75390625,49260.90911636093,50119.113107935154,24102579
2020-01-10,51063.1171875,51234.75791754202,50033.2728072479,50462.37463235294,16000170
2020-01-13,51492.2265625,51492.2265625,50719.8431640625,51148.945052083334,11359139
2020-01-14,51492.2265625,52350.430338541664,51406.40618489583,51835.508072916666,16906295
2020-01-15,50634.01953125,51148.94176377119,50548.19915916314,51063.12139168432,14300928
2020-01-16,52092.96875,52092.96875,50634.02234349259,50719.842720345965,14381774
2020-01-17,52607.89453125,53208.63720942088,52350.43338346248,53122.81682682504,16025661
2020-01-20,53551.91796875,53895.1994941907,52951.175299228766,53208.63644330929,12528855
2020-01-21,52693.70703125,53551.910728827366,52522.06629173453,53208.62924979642,11142693
2020-01-22,53466.08984375,53723.550950541736,51835.50283406902,51921.3232029996,15339565
2020-01-23,52178.79296875,53036.996800472865,52092.972585577714,53036.996800472865,14916555
2020-01-28,50462.375,50977.29719387755,50033.273171768706,50977.29719387755,23664541
2020-01-29,50719.84375,51234.7660215736,50462.382614213195,50719.84375,16446102
2020-01-30,49089.25390625,50462.37988964161,48745.9724104021,50462.37988964161,20821939
2020-01-31,48402.6875,50119.09485815603,48402.6875,49604.172650709224,19749457
2020-02-03,49089.25390625,49260.89465417395,47372.84642701049,47630.30754889642,23995260
2020-02-04,50548.19921875,50634.01959093803,48745.971402801355,49003.43251936545,21800192
2020-02-05,51063.1171875,51663.85974264706,50548.194997373954,51492.21901260504,19278165
2020-02-06,52436.24609375,52436.24609375,51234.76091320581,51578.0423933613,14727159
